Taito City,Taito
Shinjuku City,Shinjuku
Sumida City,Sumida
Chuo City,Chuo
Shinjuku-ku,Shinjuku
Shibuya-ku,Shibuya
Koto City,Koto
Sumida-ku,Sumida
新宿区,Shinjuku
Taitō-ku,Taito
Toshima City,Toshima
Shibuya City,Shibuya
Chiyoda City,Chiyoda
Ota City,Ota
Setagaya-ku,Setagaya
Edogawa City,Edogawa
Minato City,Minato
Arakawa City,Arakawa
Shinjuku,Shinjuku
中央区,Chuo
Kamakura,(outside tokyo)
墨田区,Sumida
Nakano City,Nakano
Chūō-ku,Chuo
港区,Minato
Ōta-ku,Ota
Itabashi City,Itabashi
Toshima-ku,Toshima
Meguro City,Meguro
Setagaya City,Setagaya
Sumida-City,Sumida
"目黒区, 東京都, JP",Meguro
Adachi City,Adachi
Suginami City,Suginami
Minamitsuru District,(outside tokyo)
いすみ市,(outside tokyo)
Shibuya,Shibuya
目黒区柿の木坂2-17-6,Meguro
Kamagaya,(outside tokyo)
"Minami Ward, Yokohama",(outside tokyo)
Mito-shi,(outside tokyo)
"Naka Ward, Yokohama",(outside tokyo)
Itabashi-ku,Itabashi
Chiyoda-ku,Chiyoda
杉並区,Suginami
Kawasaki,(outside tokyo)
Edogawa-ku,Edogawa
豊島区,Toshima
Katsushika City,Katsuhika
墨田区石原,Meguro
"Shinjuku Ku,",Shinjuku
Arakawa-ku,Arakawa
Kōtō-ku,Koto
渋谷区,Shibuya
Shinagawa Ku,Shinagawa
Bunkyo City,Bunkyo
Shibuyaku,Shibuya
"Shibuya-ku,",Shibuya
Taito Ku,Taito
Suginami-ku,Suginami
"Sumida-Ku,",Sumida
台東区東上野,Taito
"Fujikawaguchiko, Minamitsuru District",(outside tokyo)
Nagareyama-shi,(outside tokyo)
荒川区東日暮里,(outside tokyo)
"Hodogaya-ku, Yokohama-shi",(outside tokyo)
南伊豆町,(outside tokyo)
Higashimurayama,(outside tokyo)
Chōfu-shi,(outside tokyo)
荒川区,(outside tokyo)
Minato-ku,Minato
Taitou-ku,Taito
Narita,(outside tokyo)
